CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
195.0  ;Cottonwood                                                       ;Cottonwood, Alabama                                        ;Cottonwood                                   ;Alabama              ;31.0549687         ;-85.30100084 ;2.0                         ;3.0                        ;1.0                       ;3.0
90.0   ;Goleta Post Office                                               ;Goleta, California                                         ;Goleta                                       ;California           ;34.43606107        ;-119.8593619 ;7.0                         ;8.0                        ;0.0                       ;7.0
204.0  ;Killeen                                                          ;Killeen, Texas                                             ;Killeen                                      ;Texas                ;31.07925506        ;-97.73392317 ;2.0                         ;2.0                        ;3.0                       ;5.0
303.0  ;Sherman, TX Family murder-suicide                                ;Sherman, Texas                                             ;Sherman                                      ;Texas                ;33.635661999999996 ;-96.60888    ;3.0                         ;4.0                        ;0.0                       ;3.0
305.0  ;Albuquerque, NM Family restaurant shooting                       ;Albuquerque, New Mexico                                    ;Albuquerque                                  ;New Mexico           ;35.085334          ;-106.605553  ;2.0                         ;3.0                        ;1.0                       ;3.0
68.0   ;Parker Middle School Dance                                       ;Edinboro, Pennsylvania                                     ;Edinboro                                     ;Pennsylvania         ;41.87617136        ;-80.12459632 ;1.0                         ;1.0                        ;3.0                       ;4.0
91.0   ;Party in Capitol Hill, Seattle                                   ;Seattle, Washington                                        ;Seattle                                      ;Washington           ;47.621995749999996 ;-122.323646  ;6.0                         ;7.0                        ;2.0                       ;8.0
32.0   ;GMAC Loan Office                                                 ;Jacksonville, Florida                                      ;Jacksonville                                 ;Florida              ;30.33216122        ;-81.67576993 ;11.0                        ;12.0                       ;6.0                       ;17.0
168.0  ;Ensley Birmingham                                                ;Birmingham, Alabama                                        ;Birmingham                                   ;Alabama              ;33.5282865         ;-86.79550448 ;5.0                         ;5.0                        ;0.0                       ;5.0
59.0   ;San Diego State University                                       ;San Diego, California                                      ;San Diego                                    ;California           ;32.86357277        ;-117.1281628 ;3.0                         ;3.0                        ;0.0                       ;3.0
269.0  ;Los Angeles Drive-by                                             ;Los Angeles, California                                    ;Los Angeles                                  ;California           ;34.052234          ;-118.243685  ;2.0                         ;2.0                        ;2.0                       ;4.0
282.0  ;Kalamazoo Uber Driver Spree Killing                              ;Kalamazoo , Michigan                                       ;Kalamazoo                                    ;Michigan             ;42.291707          ;-85.587229   ;6.0                         ;6.0                        ;2.0                       ;8.0
159.0  ;Kennesaw FedEx                                                   ;Kennesaw, Georgia                                          ;Kennesaw                                     ;Georgia              ;34.02529674        ;-84.61766831 ;0.0                         ;1.0                        ;6.0                       ;6.0
25.0   ;Hubbard Woods Elementary School                                  ;Winnetka, Illinois                                         ;Winnetka                                     ;Illinois             ;42.10648807        ;-87.74211141 ;1.0                         ;2.0                        ;7.0                       ;8.0
308.0  ;Memphis, TN gas station shooting                                 ;Memphis, Tennessee                                         ;Memphis                                      ;Tennessee            ;35.149534          ;-90.04898    ;0.0                         ;0.0                        ;4.0                       ;4.0
287.0  ;Detroit Strip Club Shootout                                      ;Detroit, Michigan                                          ;Detroit                                      ;Michigan             ;42.331427          ;-83.045754   ;0.0                         ;0.0                        ;5.0                       ;5.0
165.0  ;Marysville-Pilchuck High School                                  ;Marysville, Washington                                     ;Marysville                                   ;Washington           ;48.04802409        ;-122.1359622 ;4.0                         ;5.0                        ;1.0                       ;5.0
78.0   ;Edgewater Technology                                             ;Wakefield, Boston, Massachusetts                           ;Boston                                       ;Massachusetts        ;42.30904091        ;-71.10271358 ;7.0                         ;7.0                        ;0.0                       ;7.0
306.0  ;Chicago Birthday Party Bus Shooting                              ;Chicago, Illinois                                          ;Chicago                                      ;Illinois             ;41.878114          ;-87.629798   ;0.0                         ;0.0                        ;5.0                       ;5.0
63.0   ;Heath High School                                                ;West Paducah, Kentucky                                     ;West Paducah                                 ;Kentucky             ;37.08506           ;-88.74422    ;3.0                         ;3.0                        ;5.0                       ;8.0
268.0  ;Florida family murder                                            ;Crestview, Florida                                         ;Crestview                                    ;Florida              ;30.754181          ;-86.572799   ;3.0                         ;3.0                        ;0.0                       ;3.0
198.0  ;Panama City Beach                                                ;Panama City Beach, Florida                                 ;Panama City Beach                            ;Florida              ;30.22540212        ;-85.87371301 ;0.0                         ;0.0                        ;7.0                       ;7.0
20.0   ;Post office in Edmond, Oklahoma                                  ;Edmond, Oklahoma                                           ;Edmond                                       ;Oklahoma             ;35.66889223        ;-97.41438792 ;14.0                        ;15.0                       ;6.0                       ;20.0
83.0   ;Case Western Reserve University                                  ;Cleveland, Ohio                                            ;Cleveland                                    ;Ohio                 ;41.47657557        ;-81.68051502 ;1.0                         ;1.0                        ;2.0                       ;3.0
140.0  ;Phoenix Law Firm                                                 ;Phoenix, Arizona                                           ;Phoenix                                      ;Arizona              ;33.57145875        ;-112.0904854 ;2.0                         ;3.0                        ;1.0                       ;3.0
43.0   ;Dana Point Post Office                                           ;Dana Point, California                                     ;Dana Point                                   ;California           ;33.47316083        ;-117.696399  ;1.0                         ;1.0                        ;5.0                       ;6.0
167.0  ;Cedarville Rancheria Tribe                                       ;Alturas, California                                        ;Alturas                                      ;California           ;41.4911123         ;-120.549091  ;4.0                         ;4.0                        ;2.0                       ;6.0
66.0   ;Connecticut State Lottery Headquarters                           ;Newington, Connecticut                                     ;Newington                                    ;Connecticut          ;41.68700845        ;-72.73083927 ;4.0                         ;5.0                        ;0.0                       ;4.0
102.0  ;Westroads Mall                                                   ;Omaha, Nebraska                                            ;Omaha                                        ;Nebraska             ;41.265922          ;-96.05381421 ;8.0                         ;9.0                        ;4.0                       ;12.0
110.0  ;University of Central Arkansas                                   ;Conway, Arkansas                                           ;Conway                                       ;Arkansas             ;35.08130744        ;-92.43278275 ;2.0                         ;0.0                        ;1.0                       ;3.0
226.0  ;Parking lot near Boys and Girls Club                             ;Rochester, New York                                        ;Rochester                                    ;New York             ;43.1696837         ;-77.614337   ;3.0                         ;3.0                        ;4.0                       ;7.0
261.0  ;Lawrenceburg, Tennessee                                          ;Lawrenceburg, Tennessee                                    ;Lawrenceburg                                 ;Tennessee            ;35.242302          ;-87.334739   ;1.0                         ;2.0                        ;2.0                       ;3.0
307.0  ;Albuquerque, NM House party shooting                             ;Albuquerque, New Mexico                                    ;Albuquerque                                  ;New Mexico           ;35.085334          ;-106.605553  ;0.0                         ;0.0                        ;4.0                       ;4.0
52.0   ;Wickliffe Middle School                                          ;Wickliffe, Ohio                                            ;Wickliffe                                    ;Ohio                 ;41.60713735        ;-81.46902046 ;1.0                         ;1.0                        ;3.0                       ;4.0
13.0   ;Johnston Post Office                                             ;Johnston, South Carolina                                   ;Johnston                                     ;South Carolina       ;33.83272887        ;-81.8051584  ;1.0                         ;1.0                        ;3.0                       ;4.0
